##BLOCKS= 1          
Plate:	Plate#1	1.3	PlateFormat	FLEX	Fluorescence	TRUE	Raw	FALSE	132	200	1.52				1	565	1	7	96	530	Automatic	550			6	Medium			1	8	TimeTags	
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12		
		31.755	31.6464	31.733	31.7654	31.7706	31.8038	31.7436							
		135.636	154.983	181.616	189.819	175.489	177.493	201.49							
		31.9354	31.8076	31.9234	31.9568	31.9212	31.9624	31.905							
		175.975	176.465	185.916	184.607	193.66	190.227	194.217							
		32.0962	31.9564	32.0834	32.1066	32.1442	32.1834	32.0642							
		191.01	175.808	165.369	190.048	159.857	149.786	175.695							
		
	37.04	32.4856	32.3568	32.474	32.4158	32.4716	32.5044	32.4644							
		183.815	203.486	194.226	216.042	201.589	190.462	189.658							
		32.6358	32.5082	32.634	32.5662	32.6214	32.6528	32.6254							
		171.671	205.119	193.069	196.202	191.136	174.806	178.961							
		32.7862	32.6774	32.7854	32.7264	32.7718	32.8032	32.795							
		144.343	177.33	197.115	197.908	167.425	162.353	178.662							
		33.008	32.8272	32.9946	32.8762	32.933	32.9632	32.975							
		165.89	198.43	210.648	204.834	185.849	183.891	188.628							
		33.1564	32.9776	33.1444	33.0868	33.082	33.1146	33.135							
		117.69	191.335	193.944	148.329	178.602	120.72	175.229							
		33.3068	33.1388	33.295	33.2466	33.2724	33.3138	33.2864							
		140.052	160.495	186.244	189.474	174.106	180.101	194.911							
		33.4666	33.3278	33.455	33.3968	33.4324	33.4736	33.4456							
		178.727	180.977	180.295	184.067	189.75	187.362	186.416							
		33.6168	33.4782	33.605	33.5472	33.5824	33.624	33.6054							
		187.871	175.61	158.696	178.008	150.431	142.912	161.5							
		
	37.04	34.0874	33.8796	34.0654	33.9276	33.9928	34.0042	34.0738							
		174.357	192.385	183.98	208.3	191.631	183.924	175.074							
		34.2376	34.0488	34.217	34.1478	34.1432	34.1546	34.2262							
		159.432	193.235	183.6	184.029	181.258	170.555	167.716							
		34.3986	34.2086	34.386	34.2986	34.3434	34.3746	34.3864							
		133.662	166.546	185.933	185.56	160.881	155.914	165.763							
		34.5478	34.389	34.5358	34.4482	34.4934	34.526	34.5464							
		155.514	184.731	197.531	194.059	175.257	180.047	179.552							
		34.6982	34.5502	34.6862	34.6082	34.6438	34.6852	34.6978							
		111.547	179.01	179.243	141.238	168.701	117.255	165.467							
		34.858	34.6992	34.8464	34.7582	34.8038	34.845	34.857							
		131.784	146.691	173.433	176.907	167.415	171.894	185.978							
		35.0474	34.8496	35.0386	34.9086	34.9538	34.9952	35.097							
		168.779	167.974	170.473	172.513	179.206	182.888	179.009							
		35.1986	35.0098	35.1968	35.1426	35.1052	35.1456	35.2472							
		175.341	164.924	152.655	170.975	143.614	141.964	158.246							
		
	37.04	35.609	35.4802	35.5068	35.449	35.5044	35.526	35.5294							
		166.368	187.942	178.684	196.427	183.765	182.582	173.992							
		35.769	35.63	35.6584	35.609	35.6548	35.6862	35.6878							
		154.818	185.756	174.887	179.544	173.158	167.319	162.43							
		35.9212	35.7804	35.8272	35.7604	35.8156	35.836	35.8476							
		126.65	163.273	180.728	177.377	154.282	153.683	160.876							
		36.1062	35.9406	35.9774	35.9296	35.9848	35.9878	35.9978							
		149.664	178.723	193.952	187.094	168.8	174.182	176.374							
		36.2594	36.1022	36.1678	36.0894	36.1352	36.1466	36.1696							
		106.18	170.168	175.309	137.654	162.79	113.87	165.046							
		36.4096	36.251	36.3286	36.27	36.2952	36.2964	36.3282							
		126.577	144.293	168.45	172.181	162.033	169.765	181.303							
		36.5618	36.445	36.4778	36.431	36.4766	36.507	36.4782							
		163.573	163.132	163.213	167.308	173.255	179.433	171.196							
		36.72	36.591	36.6282	36.59	36.6358	36.6686	36.6288							
		172.185	160.339	146.182	168.508	140.052	142.904	152.952							
		
	37.04	37.1642	36.923	37.0396	36.9704	37.0362	37.0474	37.019							
		162.48	182.238	171.581	189.986	178.892	178.144	166.125							
		37.3226	37.0714	37.2386	37.1206	37.197	37.2074	37.229							
		149.467	180.337	171.509	175.76	170.728	163.776	157.346							
		37.481	37.222	37.3888	37.341	37.3662	37.3596	37.3792							
		125.191	159.788	174.626	173.315	153.06	152.986	155.718							
		37.6408	37.3818	37.5392	37.5008	37.5466	37.568	37.5306							
		146.865	176.213	190.137	185.26	166.639	172.823	172.211							
		37.791	37.584	37.699	37.651	37.7066	37.7178	37.6896							
		103.134	166.752	168.849	132.299	157.526	113.031	160.449							
		37.9424	37.7424	37.8504	37.8014	37.858	37.8684	37.8396							
		122.29	138.124	162.881	167.605	157.728	167.153	177.274							
